Прайс-лист на 7 февраля 2025 г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Номенклатура;;;;;;;;;;;;ХРК;ХРК ЕК;
;;;;;;;;;;;;руб;руб;
;;;;;;;;;;;;Включает НДС;Включает НДС;
;;;;;;;;;;;;Цена;Цена;
Продукция;;;;;;;;;;;;;;
HoReCa минус;;;;;;;;;;;;;;
Пюре Маракуйя Агробар с/м 1кг/6шт Россия (шт);;;;;;;;;;;;955,80;;
2.2 Булочки, багеты, тесто, блины;;;;;;;;;;;;;;
**Тесто слоеное бездрожжевое 0,5кг/24шт Уральский Пекарь (шт);;;;;;;;;;;;103,65;;
**Тесто слоеное бездрожжевое рулон 2,5кг/12шт Уральский Пекарь (шт);;;;;;;;;;;;433,50;;
**Тесто слоеное дрожжевое 0,5кг/24шт Уральский Пекарь (шт);;;;;;;;;;;;103,65;;
**Тесто слоеное дрожжевое рулон 2,5кг/12шт Уральский Пекарь (шт);;;;;;;;;;;;433,50;;
Багет Французский 260г/30шт РусьБейкери (кор);;;;;;;;;;;;56,47;;
Багет Южный 260г/30шт РусьБейкери (кор);;;;;;;;;;;;66,49;;
Булочка Баварская 30/160шт РусьБейкери (кор);;;;;;;;;;;;9,38;;
Булочка для гамбургера с кунжутом 100мм 52гр/48шт (кор);;;;;;;;;;;;18,53;;
Булочка Французская 35г/160шт РусьБейкери (кор);;;;;;;;;;;;8,03;;
Тарт кофейно-ореховый 90г/12шт Черёмушки (кор);;;;;;;;;;;;91,78;;
Тарт кофейно-ореховый 90г/24шт Черёмушки (кор);;;;;;;;;;;;83,33;;
Тарт лимонный 90г/12шт Черёмушки (кор);;;;;;;;;;;;91,78;;
Тарт лимонный 90г/24шт Черёмушки (кор);;;;;;;;;;;;83,33;;
Тарт с вишней 95г/12шт Черёмушки (кор);;;;;;;;;;;;92,08;;
Тарт с вишней 95г/24шт Черёмушки (кор);;;;;;;;;;;;83,59;;
Тарт с фисташкой и малиной 95г/12шт Черёмушки (кор);;;;;;;;;;;;90,32;;
Тарт шоколадный 39г/24шт Черёмушки (кор);;;;;;;;;;;;32,59;;
Тарт шоколадный 90г/12шт Черёмушки (кор);;;;;;;;;;;;91,78;;
Тарт яблочно-ванильный 110г/12шт Черёмушки (кор);;;;;;;;;;;;91,23;;
Тарт яблочно-ванильный 110г/24шт Черёмушки (кор);;;;;;;;;;;;82,16;;
Тортилья пшеничная 10d 70г/12шт/10уп Черёмушки (шт);;;;;;;;;;;;171,60;;
Тортилья сырная 10,5d 73г/12шт/12уп Черёмушки (шт);;;;;;;;;;;;429,94;;
Хлеб Зерновой 350г/8шт Черёмушки;;;;;;;;;;;;86,13;;
2.3 Полуфабрикаты Панировка;;;;;;;;;;;;;;
Кольца кальмара в панировке Панко 0,5кг/12шт Россия (шт);;;;;;;;;;;;322,70;;
Креветки в панировке Панко 1кг/10шт Россия (шт);;;;;;;;;;;;1 102,40;;
"Палочки сырные ""Моцарелла"" в панировке 1кг/10шт Россия (шт)";;;;;;;;;;;;556,40;;
2.5 Продукция Чизберри;;;;;;;;;;;;;;
"**Чизкейк ""New York"" 100г/8шт Чизберри (кор)";;;;;;;;;;;;112,97;;
"**Чизкейк ""Шоколадный"" 100г/8шт Чизберри (кор)";;;;;;;;;;;;112,97;;
"Торт ""Тирамису"" 1,4кг/3шт Чизберри (шт)";;;;;;;;;;;;1 605,76;;
"Трайфл ""Тирамису"" 100г/12шт Чизберри (шт)";;;;;;;;;;;;102,57;;
"Чизкейк ""Вишневый"" 1,2кг/4шт Чизберри (шт)";;;;;;;;;;;;850,46;;
"Чизкейк ""Карамельный с арахисом"" 1,2кг/4шт Чизберри (шт)";;;;;;;;;;;;1 003,08;;
"Чизкейк ""Манго-Маракуйя"" 1,2кг/4шт Чизберри (шт)";;;;;;;;;;;;964,08;;
"Чизкейк ""Нью-Йорк ванильный"" 1,2кг/4шт Чизберри (шт)";;;;;;;;;;;;850,46;;
"Чизкейк ""Нью-Йорк с клубникой"" 1,2кг/4шт Чизберри (шт)";;;;;;;;;;;;853,58;;
"Чизкейк ""Нью-Йорк с кокосом"" 1,2кг/4шт Чизберри (шт)";;;;;;;;;;;;853,58;;
"Чизкейк ""Нью-Йорк с лимоном"" 1,2кг/4шт Чизберри (шт)";;;;;;;;;;;;853,58;;
"Чизкейк ""Нью-Йорк с малиной"" 1,2кг/4шт Чизберри (шт)";;;;;;;;;;;;853,58;;
"Чизкейк ""Шоколадный"" 1,2кг/4шт Чизберри (шт)";;;;;;;;;;;;964,08;;
2.7. Молочная продукция;;;;;;;;;;;;;;
Сыр Моцарелла кубик замороженый 1кг/10 штук;;;;;;;;;;;;422,50;;
ВкусON -/Sibylla -;;;;;;;;;;;;;;
*Гуакамоле классический вкус 110гр/11шт;;;;;;;;;;;;310,45;;
*Омлет быстрозамороженный 90г/45шт Лукойл;;;;;;;;;;;;56,46;;
Багет для французского хот-дога 60г/40шт;;;;;;;;;;;;22,37;;
Бифштекс для гамбургеров для профессионалов 150г/48шт.;;;;;;;;;;;;154,44;;
Бифштекс для гамбургеров для профессионалов 90г/56шт.;;;;;;;;;;;;92,67;;
"Булочка ""Датская"" с кунжутом и льном 105г/36шт";;;;;;;;;;;;37,13;;
Булочка для гамбургера с кунжутом 82г/40шт;;;;;;;;;;;;24,57;;
Булочка для датского хот-дога  60г/60шт;;;;;;;;;;;;17,98;;
Булочка Твин-Дог 110г/24шт;;;;;;;;;;;;74,79;;
"Колбаски ""Гриль Оригинальные"" 140г/48шт ";;;;;;;;;;;;137,60;;
"Сосиски ""3 перца с сыром"" 80г/120шт (шт) NEW";;;;;;;;;;;;77,82;;
"Сосиски ""Говяжьи гриль"" 80г/120шт (шт)";;;;;;;;;;;;70,77;;
"Сосиски ""Куриные гриль"" 80г/120шт (шт) NEW";;;;;;;;;;;;65,52;;
"Сосиски ""Финские гриль"" 80г/120шт (шт)";;;;;;;;;;;;65,52;;
"Сосиски ""Чили гриль"" 80г/120шт (шт)";;;;;;;;;;;;65,52;;
Сосиски «Говяжьи гриль» 150г/60шт (шт);;;;;;;;;;;;132,67;;
Сосиски «Микс» 130г/60шт (кор);;;;;;;;;;;;152,66;;
Сосиски «Финские гриль» 150г/35шт (кор);;;;;;;;;;;;122,84;;
Сосиски с индейкой 80г/120шт (шт) NEW;;;;;;;;;;;;74,40;;
"Соус ""Чимичури"" 150гр/35шт (шт)";;;;;;;;;;;;166,60;;
"Фрикадельки ""Мясные"" 0,5кг/10шт";;;;;;;;;;;;482,47;;
Картофель Фри ;;;;;;;;;;;;;;
**Картофель фри Фрай Ми 6*6 2,5кг/5шт (шт);;;;;;;;;;;;746,88;;
**Картофельные дольки в кожуре Фрай Ми 2,5кг/5шт (ЕК,НТ,СРГ,ПМ,ТМ-шт);;;;;;;;;;;;691,88;;
Картофель Фри 6*6 мм 2,5кг/4шт ТМ Fritto-Appetito Россия (ЕК,НТ,СРГ,ПМ,ТМ-шт);;;;;;;;;;;;521,88;;
